ds,y
2010-01-01,750586.0
2010-01-02,837421.0
2010-01-03,910921.0
2010-01-04,933310.0
2010-01-05,915793.0
2010-01-06,900012.0
2010-01-07,875136.0
2010-01-08,885808.0
2010-01-09,861500.0
2010-01-10,870458.0
2010-01-11,916368.0
2010-01-12,890504.0
2010-01-13,889045.0
2010-01-14,854107.0
2010-01-15,816045.0
2010-01-16,729256.0
2010-01-17,743084.0
2010-01-18,765036.0
2010-01-19,795764.0
2010-01-20,811601.0
2010-01-21,829406.0
2010-01-22,816704.0
2010-01-23,764399.0
2010-01-24,751557.0
2010-01-25,742736.0
2010-01-26,785987.0
2010-01-27,830458.0
2010-01-28,842202.0
2010-01-29,933443.0
2010-01-30,918634.0
2010-01-31,865529.0
2010-02-01,893166.0
2010-02-02,885034.0
2010-02-03,848611.0
2010-02-04,840646.0
2010-02-05,849858.0
2010-02-06,828451.0
2010-02-07,828930.0
2010-02-08,886336.0
2010-02-09,875477.0
2010-02-10,857264.0
2010-02-11,842065.0
2010-02-12,852824.0
2010-02-13,826662.0
2010-02-14,795010.0
2010-02-15,846673.0
2010-02-16,863223.0
2010-02-17,871596.0
2010-02-18,841007.0
2010-02-19,812518.0
2010-02-20,753422.0
2010-02-21,731140.0
2010-02-22,808816.0
2010-02-23,826467.0
2010-02-24,801833.0
2010-02-25,836131.0
2010-02-26,865537.0
2010-02-27,772290.0
2010-02-28,741376.0
2010-03-01,793416.0
2010-03-02,796725.0
2010-03-03,812856.0
2010-03-04,794316.0
2010-03-05,781207.0
2010-03-06,719569.0
2010-03-07,679974.0
2010-03-08,735692.0
2010-03-09,723827.0
2010-03-10,727284.0
2010-03-11,715611.0
2010-03-12,733134.0
2010-03-13,702610.0
2010-03-14,634124.0
2010-03-15,746968.0
2010-03-16,723312.0
2010-03-17,711092.0
2010-03-18,700771.0
2010-03-19,683720.0
2010-03-20,616889.0
2010-03-21,594330.0
2010-03-22,680109.0
2010-03-23,693181.0
2010-03-24,697361.0
2010-03-25,696989.0
2010-03-26,705600.0
2010-03-27,687513.0
2010-03-28,673413.0
2010-03-29,708570.0
2010-03-30,744479.0
2010-03-31,714108.0
2010-04-01,681902.0
2010-04-02,634298.0
2010-04-03,596601.0
2010-04-04,571023.0
2010-04-05,670313.0
2010-04-06,720174.0
2010-04-07,767228.0
2010-04-08,764979.0
2010-04-09,670692.0
2010-04-10,612023.0
2010-04-11,597246.0
2010-04-12,665578.0
2010-04-13,682195.0
2010-04-14,686770.0
2010-04-15,682323.0
2010-04-16,674883.0
2010-04-17,608459.0
2010-04-18,607687.0
2010-04-19,676572.0
2010-04-20,676103.0
2010-04-21,675379.0
2010-04-22,676084.0
2010-04-23,660532.0
2010-04-24,601722.0
2010-04-25,602737.0
2010-04-26,680598.0
2010-04-27,676231.0
2010-04-28,696404.0
2010-04-29,684639.0
2010-04-30,681118.0
2010-05-01,676840.0
2010-05-02,747678.0
2010-05-03,829250.0
2010-05-04,777998.0
2010-05-05,743902.0
2010-05-06,755840.0
2010-05-07,692655.0
2010-05-08,629896.0
2010-05-09,581239.0
2010-05-10,671995.0
2010-05-11,690204.0
2010-05-12,698973.0
2010-05-13,680342.0
2010-05-14,719792.0
2010-05-15,649796.0
2010-05-16,606141.0
2010-05-17,679112.0
2010-05-18,684548.0
2010-05-19,683388.0
2010-05-20,719438.0
2010-05-21,764968.0
2010-05-22,674835.0
2010-05-23,648360.0
2010-05-24,735207.0
2010-05-25,795085.0
2010-05-26,883019.0
2010-05-27,900915.0
2010-05-28,743012.0
2010-05-29,700249.0
2010-05-30,744350.0
2010-05-31,826995.0
2010-06-01,912235.0
2010-06-02,924131.0
2010-06-03,961089.0
2010-06-04,956260.0
2010-06-05,908219.0
2010-06-06,859344.0
2010-06-07,747137.0
2010-06-08,729113.0
2010-06-09,711067.0
2010-06-10,782023.0
2010-06-11,779181.0
2010-06-12,783499.0
2010-06-13,854144.0
2010-06-14,897065.0
2010-06-15,855041.0
2010-06-16,825246.0
2010-06-17,856552.0
2010-06-18,830293.0
2010-06-19,832540.0
2010-06-20,912789.0
2010-06-21,989706.0
2010-06-22,979299.0
2010-06-23,1035399.0
2010-06-24,1071906.0
2010-06-25,972589.0
2010-06-26,905571.0
2010-06-27,965024.0
2010-06-28,1095421.0
2010-06-29,1016390.0
2010-06-30,820209.0
2010-07-01,770040.0
2010-07-02,758996.0
2010-07-03,760929.0
2010-07-04,844349.0
2010-07-05,979234.0
2010-07-06,1143990.0
2010-07-07,1169897.0
2010-07-08,1107303.0
2010-07-09,1046795.0
2010-07-10,861305.0
2010-07-11,873746.0
2010-07-12,948827.0
2010-07-13,957917.0
2010-07-14,932513.0
2010-07-15,999494.0
2010-07-16,1072659.0
2010-07-17,1003344.0
2010-07-18,999024.0
2010-07-19,1062865.0
2010-07-20,1027029.0
2010-07-21,1072405.0
2010-07-22,1039320.0
2010-07-23,1059517.0
2010-07-24,1122349.0
2010-07-25,1002093.0
2010-07-26,916830.0
2010-07-27,941216.0
2010-07-28,1011937.0
2010-07-29,1039875.0
2010-07-30,882770.0
2010-07-31,793327.0
2010-08-01,771495.0
2010-08-02,864211.0
2010-08-03,934676.0
2010-08-04,1053174.0
2010-08-05,1071661.0
2010-08-06,994151.0
2010-08-07,824171.0
2010-08-08,859856.0
2010-08-09,1036408.0
2010-08-10,1085039.0
2010-08-11,1094019.0
2010-08-12,967511.0
2010-08-13,853700.0
2010-08-14,766214.0
2010-08-15,746332.0
2010-08-16,970825.0
2010-08-17,1004677.0
2010-08-18,874894.0
2010-08-19,926603.0
2010-08-20,958287.0
2010-08-21,851506.0
2010-08-22,854383.0
2010-08-23,850053.0
2010-08-24,767670.0
2010-08-25,780692.0
2010-08-26,831044.0
2010-08-27,781485.0
2010-08-28,739278.0
2010-08-29,811749.0
2010-08-30,962067.0
2010-08-31,1011582.0
2010-09-01,1048806.0
2010-09-02,1064937.0
2010-09-03,957801.0
2010-09-04,755246.0
2010-09-05,641616.0
2010-09-06,679646.0
2010-09-07,879478.0
2010-09-08,929780.0
2010-09-09,749961.0
2010-09-10,712420.0
2010-09-11,660536.0
2010-09-12,638350.0
2010-09-13,741350.0
2010-09-14,744696.0
2010-09-15,730637.0
2010-09-16,747768.0
2010-09-17,753804.0
2010-09-18,644792.0
2010-09-19,665465.0
2010-09-20,735276.0
2010-09-21,712537.0
2010-09-22,814275.0
2010-09-23,853971.0
2010-09-24,895162.0
2010-09-25,838813.0
2010-09-26,664422.0
2010-09-27,758180.0
2010-09-28,810980.0
2010-09-29,742956.0
2010-09-30,806655.0
2010-10-01,725234.0
2010-10-02,609230.0
2010-10-03,594140.0
2010-10-04,680843.0
2010-10-05,693209.0
2010-10-06,686600.0
2010-10-07,687581.0
2010-10-08,676850.0
2010-10-09,615682.0
2010-10-10,594257.0
2010-10-11,694761.0
2010-10-12,711454.0
2010-10-13,678209.0
2010-10-14,690761.0
2010-10-15,676833.0
2010-10-16,614917.0
2010-10-17,604613.0
2010-10-18,675683.0
2010-10-19,685851.0
2010-10-20,693259.0
2010-10-21,691469.0
2010-10-22,687054.0
2010-10-23,633189.0
2010-10-24,597433.0
2010-10-25,684143.0
2010-10-26,703494.0
2010-10-27,734718.0
2010-10-28,705740.0
2010-10-29,666556.0
2010-10-30,628972.0
2010-10-31,610640.0
2010-11-01,708326.0
2010-11-02,732266.0
2010-11-03,732930.0
2010-11-04,723958.0
2010-11-05,707467.0
2010-11-06,665995.0
2010-11-07,646578.0
2010-11-08,742739.0
2010-11-09,719952.0
2010-11-10,707556.0
2010-11-11,714779.0
2010-11-12,721256.0
2010-11-13,657532.0
2010-11-14,640806.0
2010-11-15,701438.0
2010-11-16,714693.0
2010-11-17,696639.0
2010-11-18,720173.0
2010-11-19,727565.0
2010-11-20,676030.0
2010-11-21,659628.0
2010-11-22,708835.0
2010-11-23,705214.0
2010-11-24,721619.0
2010-11-25,665711.0
2010-11-26,665119.0
2010-11-27,704124.0
2010-11-28,697250.0
2010-11-29,771394.0
2010-11-30,747320.0
2010-12-01,737802.0
2010-12-02,802202.0
2010-12-03,803736.0
2010-12-04,768219.0
2010-12-05,772589.0
2010-12-06,865583.0
2010-12-07,878252.0
2010-12-08,885918.0
2010-12-09,897709.0
2010-12-10,859547.0
2010-12-11,793306.0
2010-12-12,730721.0
2010-12-13,847571.0
2010-12-14,964029.0
2010-12-15,952636.0
2010-12-16,953146.0
2010-12-17,917141.0
2010-12-18,845668.0
2010-12-19,833458.0
2010-12-20,906308.0
2010-12-21,888925.0
2010-12-22,867794.0
2010-12-23,860122.0
2010-12-24,798284.0
2010-12-25,766762.0
2010-12-26,824182.0
2010-12-27,898642.0
2010-12-28,866293.0
2010-12-29,830446.0
2010-12-30,836408.0
2010-12-31,762759.0
2011-01-01,696925.0
2011-01-02,680359.0
2011-01-03,833860.0
2011-01-04,853889.0
2011-01-05,843267.0
2011-01-06,867691.0
2011-01-07,860553.0
2011-01-08,844882.0
2011-01-09,841479.0
2011-01-10,904641.0
2011-01-11,907319.0
2011-01-12,898042.0
2011-01-13,909438.0
2011-01-14,904654.0
2011-01-15,825828.0
2011-01-16,772890.0
2011-01-17,881102.0
2011-01-18,879260.0
2011-01-19,823526.0
2011-01-20,832453.0
2011-01-21,869844.0
2011-01-22,904453.0
2011-01-23,897696.0
2011-01-24,971539.0
2011-01-25,884211.0
2011-01-26,874749.0
2011-01-27,839403.0
2011-01-28,858337.0
2011-01-29,810975.0
2011-01-30,785016.0
2011-01-31,878322.0
2011-02-01,886120.0
2011-02-02,841806.0
2011-02-03,869523.0
2011-02-04,877979.0
2011-02-05,798488.0
2011-02-06,732046.0
2011-02-07,804836.0
2011-02-08,836609.0
2011-02-09,917226.0
2011-02-10,890742.0
2011-02-11,887483.0
2011-02-12,803452.0
2011-02-13,754198.0
2011-02-14,759746.0
2011-02-15,813779.0
2011-02-16,807522.0
2011-02-17,735097.0
2011-02-18,692728.0
2011-02-19,690958.0
2011-02-20,726226.0
2011-02-21,788660.0
2011-02-22,851461.0
2011-02-23,845673.0
2011-02-24,825192.0
2011-02-25,773664.0
2011-02-26,733796.0
2011-02-27,678951.0
2011-02-28,737208.0
2011-03-01,763859.0
2011-03-02,774619.0
2011-03-03,828376.0
2011-03-04,794812.0
2011-03-05,678616.0
2011-03-06,653693.0
2011-03-07,764173.0
2011-03-08,773533.0
2011-03-09,791705.0
2011-03-10,769143.0
2011-03-11,732547.0
2011-03-12,679807.0
2011-03-13,631340.0
2011-03-14,749957.0
2011-03-15,760162.0
2011-03-16,735454.0
2011-03-17,701325.0
2011-03-18,674865.0
2011-03-19,609181.0
2011-03-20,639588.0
2011-03-21,728350.0
2011-03-22,707074.0
2011-03-23,760947.0
2011-03-24,775403.0
2011-03-25,775610.0
2011-03-26,719299.0
2011-03-27,700631.0
2011-03-28,780237.0
2011-03-29,764602.0
2011-03-30,758517.0
2011-03-31,771591.0
2011-04-01,761363.0
2011-04-02,681275.0
2011-04-03,644837.0
2011-04-04,696335.0
2011-04-05,695457.0
2011-04-06,725208.0
2011-04-07,708113.0
2011-04-08,726687.0
2011-04-09,649505.0
2011-04-10,611846.0
2011-04-11,688166.0
2011-04-12,682259.0
2011-04-13,699959.0
2011-04-14,680899.0
2011-04-15,663918.0
2011-04-16,655503.0
2011-04-17,604413.0
2011-04-18,671130.0
2011-04-19,682601.0
2011-04-20,688326.0
2011-04-21,657647.0
2011-04-22,661990.0
2011-04-23,631606.0
2011-04-24,591591.0
2011-04-25,709981.0
2011-04-26,752011.0
2011-04-27,763566.0
2011-04-28,749508.0
2011-04-29,667765.0
2011-04-30,595181.0
2011-05-01,585156.0
2011-05-02,671482.0
2011-05-03,715316.0
2011-05-04,679128.0
2011-05-05,668322.0
2011-05-06,663028.0
2011-05-07,597377.0
2011-05-08,581855.0
2011-05-09,668211.0
2011-05-10,674719.0
2011-05-11,680143.0
2011-05-12,690014.0
2011-05-13,668907.0
2011-05-14,608355.0
2011-05-15,615658.0
2011-05-16,698005.0
2011-05-17,692146.0
2011-05-18,699100.0
2011-05-19,699471.0
2011-05-20,678169.0
2011-05-21,638011.0
2011-05-22,620226.0
2011-05-23,725334.0
2011-05-24,786691.0
2011-05-25,817850.0
2011-05-26,872636.0
2011-05-27,866263.0
2011-05-28,778966.0
2011-05-29,782575.0
2011-05-30,883854.0
2011-05-31,1009049.0
2011-06-01,1035347.0
2011-06-02,857652.0
2011-06-03,728462.0
2011-06-04,650624.0
2011-06-05,656567.0
2011-06-06,798456.0
2011-06-07,883971.0
2011-06-08,1010675.0
2011-06-09,1104228.0
2011-06-10,986346.0
2011-06-11,822080.0
2011-06-12,750279.0
2011-06-13,770548.0
2011-06-14,733164.0
2011-06-15,757040.0
2011-06-16,772083.0
2011-06-17,807509.0
2011-06-18,790497.0
2011-06-19,776565.0
2011-06-20,830155.0
2011-06-21,876302.0
2011-06-22,947655.0
2011-06-23,936331.0
2011-06-24,880102.0
2011-06-25,784066.0
2011-06-26,741193.0
2011-06-27,847225.0
2011-06-28,920895.0
2011-06-29,916597.0
2011-06-30,849993.0
2011-07-01,831526.0
2011-07-02,809989.0
2011-07-03,808061.0
2011-07-04,833902.0
2011-07-05,945867.0
2011-07-06,985828.0
2011-07-07,1007475.0
2011-07-08,930935.0
2011-07-09,863308.0
2011-07-10,856920.0
2011-07-11,1039228.0
2011-07-12,1095683.0
2011-07-13,1001926.0
2011-07-14,870263.0
2011-07-15,869059.0
2011-07-16,836803.0
2011-07-17,874365.0
2011-07-18,1045372.0
2011-07-19,1089728.0
2011-07-20,1080217.0
2011-07-21,1175477.0
2011-07-22,1247699.0
2011-07-23,1151439.0
2011-07-24,1065999.0
2011-07-25,1004997.0
2011-07-26,1006004.0
2011-07-27,966672.0
2011-07-28,956545.0
2011-07-29,1043823.0
2011-07-30,979825.0
2011-07-31,933997.0
2011-08-01,1042832.0
2011-08-02,995105.0
2011-08-03,931447.0
2011-08-04,894869.0
2011-08-05,910936.0
2011-08-06,863714.0
2011-08-07,928002.0
2011-08-08,1036701.0
2011-08-09,960875.0
2011-08-10,936280.0
2011-08-11,877643.0
2011-08-12,835157.0
2011-08-13,779272.0
2011-08-14,758697.0
2011-08-15,832362.0
2011-08-16,835772.0
2011-08-17,886425.0
2011-08-18,905731.0
2011-08-19,883733.0
2011-08-20,812620.0
2011-08-21,814919.0
2011-08-22,827273.0
2011-08-23,774423.0
2011-08-24,810061.0
2011-08-25,867001.0
2011-08-26,903444.0
2011-08-27,812366.0
2011-08-28,622115.0
2011-08-29,696619.0
2011-08-30,751611.0
2011-08-31,793738.0
2011-09-01,808101.0
2011-09-02,785467.0
2011-09-03,762447.0
2011-09-04,810818.0
2011-09-05,811468.0
2011-09-06,743977.0
2011-09-07,776219.0
2011-09-08,795089.0
2011-09-09,838357.0
2011-09-10,795575.0
2011-09-11,724492.0
2011-09-12,816496.0
2011-09-13,845253.0
2011-09-14,885497.0
2011-09-15,788234.0
2011-09-16,664861.0
2011-09-17,608968.0
2011-09-18,595512.0
2011-09-19,678499.0
2011-09-20,707636.0
2011-09-21,733648.0
2011-09-22,800017.0
2011-09-23,792113.0
2011-09-24,720825.0
2011-09-25,725512.0
2011-09-26,827639.0
2011-09-27,826460.0
2011-09-28,820440.0
2011-09-29,789013.0
2011-09-30,715783.0
2011-10-01,621173.0
2011-10-02,608061.0
2011-10-03,683714.0
2011-10-04,684859.0
2011-10-05,684132.0
2011-10-06,673406.0
2011-10-07,671632.0
2011-10-08,613416.0
2011-10-09,615444.0
2011-10-10,700586.0
2011-10-11,705574.0
2011-10-12,697835.0
2011-10-13,705658.0
2011-10-14,701442.0
2011-10-15,604042.0
2011-10-16,591149.0
2011-10-17,669891.0
2011-10-18,675975.0
2011-10-19,696836.0
2011-10-20,684510.0
2011-10-21,667222.0
2011-10-22,615151.0
2011-10-23,603822.0
2011-10-24,678163.0
2011-10-25,675768.0
2011-10-26,683507.0
2011-10-27,691936.0
2011-10-28,699621.0
2011-10-29,688424.0
2011-10-30,646861.0
2011-10-31,723620.0
2011-11-01,705245.0
2011-11-02,717450.0
2011-11-03,707619.0
2011-11-04,695235.0
2011-11-05,664871.0
2011-11-06,635415.0
2011-11-07,711775.0
2011-11-08,693912.0
2011-11-09,694717.0
2011-11-10,697482.0
2011-11-11,718473.0
2011-11-12,670471.0
2011-11-13,638270.0
2011-11-14,686568.0
2011-11-15,686281.0
2011-11-16,694739.0
2011-11-17,726774.0
2011-11-18,754944.0
2011-11-19,695051.0
2011-11-20,634225.0
2011-11-21,693691.0
2011-11-22,725637.0
2011-11-23,713087.0
2011-11-24,638684.0
2011-11-25,641619.0
2011-11-26,635625.0
2011-11-27,626581.0
2011-11-28,670013.0
2011-11-29,694612.0
2011-11-30,727781.0
2011-12-01,753704.0
2011-12-02,757316.0
2011-12-03,707465.0
2011-12-04,685386.0
2011-12-05,731742.0
2011-12-06,721547.0
2011-12-07,730456.0
2011-12-08,780960.0
2011-12-09,783218.0
2011-12-10,727443.0
2011-12-11,757316.0
2011-12-12,836122.0
2011-12-13,824357.0
2011-12-14,790521.0
2011-12-15,751900.0
2011-12-16,741999.0
2011-12-17,744579.0
2011-12-18,769138.0
2011-12-19,825001.0
2011-12-20,772701.0
2011-12-21,761823.0
2011-12-22,716850.0
2011-12-23,710479.0
2011-12-24,708914.0
2011-12-25,687649.0
2011-12-26,697222.0
2011-12-27,770530.0
2011-12-28,766981.0
2011-12-29,818034.0
2011-12-30,753196.0
2011-12-31,667671.0
2012-01-01,646102.0
2012-01-02,731116.0
2012-01-03,869261.0
2012-01-04,937660.0
2012-01-05,853910.0
2012-01-06,789504.0
2012-01-07,686790.0
2012-01-08,687083.0
2012-01-09,808018.0
2012-01-10,790926.0
2012-01-11,801188.0
2012-01-12,753212.0
2012-01-13,797119.0
2012-01-14,800686.0
2012-01-15,809327.0
2012-01-16,875405.0
2012-01-17,800565.0
2012-01-18,793415.0
2012-01-19,861421.0
2012-01-20,836927.0
2012-01-21,829078.0
2012-01-22,818846.0
2012-01-23,832103.0
2012-01-24,757299.0
2012-01-25,775226.0
2012-01-26,787632.0
2012-01-27,741969.0
2012-01-28,702479.0
2012-01-29,713147.0
2012-01-30,794801.0
2012-01-31,758862.0
2012-02-01,707431.0
2012-02-02,737731.0
2012-02-03,760358.0
2012-02-04,733060.0
2012-02-05,713052.0
2012-02-06,782281.0
2012-02-07,758885.0
2012-02-08,805116.0
2012-02-09,796066.0
2012-02-10,786552.0
2012-02-11,758137.0
2012-02-12,826666.0
2012-02-13,834836.0
2012-02-14,778184.0
2012-02-15,762266.0
2012-02-16,792612.0
2012-02-17,734631.0
2012-02-18,695978.0
2012-02-19,690849.0
2012-02-20,757636.0
2012-02-21,791008.0
2012-02-22,729851.0
2012-02-23,701702.0
2012-02-24,730025.0
2012-02-25,718711.0
2012-02-26,705051.0
2012-02-27,749896.0
2012-02-28,726813.0
2012-02-29,769607.0
2012-03-01,729015.0
2012-03-02,742688.0
2012-03-03,659704.0
2012-03-04,674586.0
2012-03-05,781613.0
2012-03-06,786326.0
2012-03-07,731429.0
2012-03-08,683067.0
2012-03-09,690221.0
2012-03-10,694660.0
2012-03-11,633624.0
2012-03-12,694827.0
2012-03-13,675013.0
2012-03-14,665693.0
2012-03-15,668898.0
2012-03-16,667670.0
2012-03-17,603031.0
2012-03-18,583527.0
2012-03-19,665065.0
2012-03-20,672109.0
2012-03-21,672412.0
2012-03-22,676500.0
2012-03-23,672855.0
2012-03-24,597602.0
2012-03-25,588042.0
2012-03-26,662220.0
2012-03-27,714998.0
2012-03-28,691040.0
2012-03-29,661351.0
2012-03-30,674192.0
2012-03-31,638563.0
2012-04-01,615725.0
2012-04-02,672644.0
2012-04-03,678884.0
2012-04-04,664517.0
2012-04-05,652475.0
2012-04-06,636341.0
2012-04-07,602265.0
2012-04-08,570487.0
2012-04-09,642616.0
2012-04-10,661115.0
2012-04-11,684569.0
2012-04-12,683508.0
2012-04-13,664552.0
2012-04-14,599982.0
2012-04-15,594034.0
2012-04-16,735609.0
2012-04-17,716545.0
2012-04-18,657047.0
2012-04-19,662208.0
2012-04-20,655692.0
2012-04-21,613035.0
2012-04-22,595348.0
2012-04-23,690045.0
2012-04-24,688884.0
2012-04-25,676276.0
2012-04-26,679985.0
2012-04-27,657298.0
2012-04-28,625429.0
2012-04-29,593383.0
2012-04-30,664461.0
2012-05-01,682755.0
2012-05-02,677348.0
2012-05-03,681808.0
2012-05-04,697663.0
2012-05-05,636365.0
2012-05-06,589580.0
2012-05-07,659680.0
2012-05-08,675417.0
2012-05-09,690332.0
2012-05-10,656187.0
2012-05-11,647641.0
2012-05-12,601908.0
2012-05-13,609762.0
2012-05-14,696562.0
2012-05-15,719709.0
2012-05-16,750089.0
2012-05-17,699495.0
2012-05-18,672493.0
2012-05-19,623191.0
2012-05-20,625664.0
2012-05-21,705680.0
2012-05-22,719775.0
2012-05-23,757649.0
2012-05-24,768827.0
2012-05-25,789979.0
2012-05-26,769128.0
2012-05-27,759914.0
2012-05-28,839562.0
2012-05-29,986757.0
2012-05-30,851775.0
2012-05-31,812737.0
2012-06-01,746329.0
2012-06-02,653600.0
2012-06-03,621161.0
2012-06-04,686469.0
2012-06-05,671832.0
2012-06-06,687746.0
2012-06-07,716310.0
2012-06-08,742912.0
2012-06-09,724954.0
2012-06-10,798178.0
2012-06-11,869194.0
2012-06-12,794662.0
2012-06-13,771593.0
2012-06-14,770219.0
2012-06-15,761149.0
2012-06-16,688268.0
2012-06-17,642779.0
2012-06-18,706977.0
2012-06-19,802936.0
2012-06-20,1010066.0
2012-06-21,1100403.0
2012-06-22,1038001.0
2012-06-23,837363.0
2012-06-24,796164.0
2012-06-25,847079.0
2012-06-26,732055.0
2012-06-27,774778.0
2012-06-28,901296.0
2012-06-29,1042662.0
2012-06-30,898303.0
2012-07-01,920973.0
2012-07-02,960631.0
2012-07-03,958354.0
2012-07-04,952687.0
2012-07-05,1090894.0
2012-07-06,1047089.0
2012-07-07,1058744.0
2012-07-08,990369.0
2012-07-09,961741.0
2012-07-10,934742.0
2012-07-11,940931.0
2012-07-12,942745.0
2012-07-13,930268.0
2012-07-14,836237.0
2012-07-15,903712.0
2012-07-16,1021437.0
2012-07-17,1084674.0
2012-07-18,1121169.0
2012-07-19,969866.0
2012-07-20,815526.0
2012-07-21,698330.0
2012-07-22,749904.0
2012-07-23,951450.0
2012-07-24,1033365.0
2012-07-25,917726.0
2012-07-26,974276.0
2012-07-27,1008530.0
2012-07-28,918678.0
2012-07-29,821879.0
2012-07-30,919289.0
2012-07-31,912827.0
2012-08-01,898316.0
2012-08-02,969409.0
2012-08-03,1018217.0
2012-08-04,966930.0
2012-08-05,968701.0
2012-08-06,990962.0
2012-08-07,926456.0
2012-08-08,972617.0
2012-08-09,1006386.0
2012-08-10,935963.0
2012-08-11,879589.0
2012-08-12,826708.0
2012-08-13,894069.0
2012-08-14,889044.0
2012-08-15,907897.0
2012-08-16,889212.0
2012-08-17,905278.0
2012-08-18,775997.0
2012-08-19,672635.0
2012-08-20,781933.0
2012-08-21,812306.0
2012-08-22,841183.0
2012-08-23,868338.0
2012-08-24,876231.0
2012-08-25,785911.0
2012-08-26,773968.0
2012-08-27,906265.0
2012-08-28,946465.0
2012-08-29,846908.0
2012-08-30,835445.0
2012-08-31,902743.0
2012-09-01,872439.0
2012-09-02,788646.0
2012-09-03,790135.0
2012-09-04,900358.0
2012-09-05,953404.0
2012-09-06,869327.0
2012-09-07,925726.0
2012-09-08,835025.0
2012-09-09,685589.0
2012-09-10,709432.0
2012-09-11,693300.0
2012-09-12,719592.0
2012-09-13,743491.0
2012-09-14,748426.0
2012-09-15,650732.0
2012-09-16,609065.0
2012-09-17,695435.0
2012-09-18,772753.0
2012-09-19,702739.0
2012-09-20,680060.0
2012-09-21,696474.0
2012-09-22,671015.0
2012-09-23,601536.0
2012-09-24,652802.0
2012-09-25,667832.0
2012-09-26,712337.0
2012-09-27,740022.0
2012-09-28,733985.0
2012-09-29,609931.0
2012-09-30,584561.0
2012-10-01,658165.0
2012-10-02,697538.0
2012-10-03,749014.0
2012-10-04,761473.0
2012-10-05,718550.0
2012-10-06,632473.0
2012-10-07,589151.0
